3956545	4.2	19282210+3902506	13.912	12.787	13.987	5617	4.496	0.103	0.537	0.139	0.199	0.101	0.092	3956545	3956545	3956545	3956545	5455.092	5083.899	6074.063	5923.116	358	358	363	363	0.330279	54964.88451	13.987	1.09188	0.89138	0.9021	0.13424
3958488	3.2	19302437+3903475	13.04	12.339	13.104	6939	4.195	0.152	0.256	0.025	0.029	0.027	0.017	3958488	3958488	3958488	3958488	9587.913	9168.015	10075.12	9957.922	46	46	51	51	0.622887	54954.15545	13.104	1.00199	1.07951	0.47741	0.92709
3969362	3.2	19411483+3903162	14.21	13.339	14.274	6560	4.651	0.143	0.336	0.03	0.045	0.064	0.051	3969362	3969362	3969362	3969362	4161.76	4877.132	5086.531	5072.374	107	107	103	103	0.410572	54964.96526	14.274	1.35762	0.85241	0.67657	0.16765
3972629	4.3	19434392+3901295	14.905	13.403	14.931	5076	4.426	0.126	0.674	0.17	0.187	0.096	0.27	3972629	3972629	3972629	3972629	2493.538	2929.387	3031.463	2993.626	156	160	161	157	0.244242	54964.80898	14.931	1.62232	4.80863	0.80911	1.11328
4071600	1	19403698+3911019	13.447	12.704	13.493	0	0	0	0.668	0.028	0.03	0.036	0.03	4071600	4071600	4071600	4071600	6862.558	7878.762	8009.798	8090.259	69	69	66	65	1.674596	54954.58741	13.493	0.96191	1.71677	0.40662	0.94296
4074532	4.2	19430487+3906359	13.202	12.034	13.271	5403	4.786	0.055	0.572	0.021	0.026	0.041	0.028	4074532	4074532	4074532	4074532	7687.078	8796.963	8897.184	8946.229	279	283	283	280	0.353145	54953.94549	13.271	1.06828	1.19009	0.8481	0.08063
4138301	4.3	19015682+3914260	14.663	13.294	14.697	5132	4.348	0.109	0.683	0.068	0.063	0.083	0.038	4138301	4138301	4138301	4138301	3859.225	3823.781	3822.571	3957.287	364	367	369	370	0.253382	54964.68656	14.697	1.0685	1.99693	0.40816	1.03939
4244929	4.2	19040406+3918551	15.043	13.958	15.064	5857	4.707	0.12	0.434	0.07	0.073	0.084	0.056	4244929	4244929	4244929	4244929	3113.222	3053.388	3088.726	3226.65	25	28	30	30	0.341417	54964.74572	15.064	1.04502	4.82605	0.79347	0.9869
4249218	4.2	19104985+3918486	13.802	12.539	13.858	5283	4.028	0.121	0.678	0.085	0.085	0.085	0.056	4249218	4249218	4249218	4249218	6632.075	6558.576	6710.855	6819.474	163	164	168	168	0.316196	54964.85732	13.858	1.09588	0.93055	0.81398	0.10278
4273411	1	19370330+3918146	13.835	12.923	13.907	6975	4.045	0.215	0.289	0.024	0.025	0.055	0.032	4273411	4273411	4273411	4273411	6192.375	5950.85	6427.49	6144.756	61	56	55	59	1.219608	54965.66974	13.907	0.97978	1.36148	0.31217	1.01122
4350454	4.1	19081259+3929165	13.575	12.551	13.624	5907	4.089	0.13	0.473	0.071	0.056	0.107	0.061	4350454	4350454	4350454	4350454	7481.325	7587.876	7495.019	7516.331	192	196	197	192	0.965688	54964.9459	13.624	1.44121	0.70421	0.61365	0.10371
4385109	4.1	19450223+3925171	15.101	13.637	15.133	4739	4.654	0.085	0.785	0.074	0.062	0.1	0.096	4385109	4385109	4385109	4385109	2120.758	2846.72	2962.591	2892.712	249	249	253	253	0.274645	54964.66818	15.133	1.10887	0.5502	0.56168	0.08415
4458989	4.2	19200035+3932021	12.891	11.99	12.945	6519	4.128	0.132	0.313	0.015	0.014	0.022	0.014	4458989	4458989	4458989	4458989	11264.012	11282.411	11506.516	11333.942	128	133	135	130	0.529863	54954.15874	12.945	1.6025	1.06614	0.63243	0.45545
4464999	3.2	19270973+3935376	13.31	12.204	13.368	5820	4.38	0.1	0.473	0.025	0.045	0.025	0.018	4464999	4464999	4464999	4464999	8512.831	8069.343	8898.362	8921.125	40	34	34	38	0.434163	54953.82139	13.368	1.01977	1.30166	0.91195	0.30327
4474193	4.1	19365752+3933305	15.26	13.846	15.297	5319	4.232	0.175	0.687	0.062	0.062	0.086	0.053	4474193	4474193	4474193	4474193	2963.193	2834.686	2831.5	2927.309	68	71	72	69	0.32251	54964.72891	15.297	1.02987	3.57095	0.78583	0.87964
4563150	4.3	19282679+3939406	13.942	12.374	13.997	4865	4.35	0.081	0.755	0.042	0.05	0.038	0.027	4563150	4563150	4563150	4563150	5860.426	5468.937	6340.455	6318.912	51	51	56	57	0.274729	54964.7663	13.997	1.09	1.77218	0.92552	0.49334
4569923	4.1	19354500+3939310	13.815	12.619	13.873	5557	4.239	0.124	0.578	0.022	0.038	0.041	0.036	4569923	4569923	4569923	4569923	6834.925	6715.993	6780.181	6742.934	253	255	257	254	0.313582	54964.65829	13.873	1.03563	0.64746	0.50215	0.45147
